N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
178.0,16.0,179.0,6.9,0.77,0.23,15.36,108.73,63.16,35.03,10.91,pomegranate
135.0,51.0,195.0,6.9,0.9,0.16,9.21,118.35,67.13,47.73,42.37,pomegranate
137.0,53.0,177.0,6.8,0.98,0.19,19.8,102.44,58.38,45.95,27.97,pomegranate
161.0,57.0,186.0,5.8,0.93,0.27,9.5,100.99,51.96,43.01,32.55,pomegranate
153.0,78.0,188.0,5.6,0.09,0.26,18.72,117.45,53.95,67.84,42.67,pomegranate
141.0,69.0,211.0,5.7,0.71,0.16,12.33,116.81,68.31,43.3,42.22,pomegranate
163.0,41.0,186.0,5.6,0.58,0.23,10.99,69.61,59.56,26.76,31.23,pomegranate
145.0,80.0,181.0,6.1,0.09,0.21,11.79,119.03,53.9,28.24,23.97,pomegranate
133.0,15.0,212.0,6.4,0.87,0.27,17.31,108.36,29.97,54.07,43.06,pomegranate
175.0,12.0,171.0,5.8,0.16,0.21,17.07,112.14,49.21,69.76,30.55,pomegranate
147.0,62.0,192.0,7.1,0.97,0.28,12.52,60.1,50.96,63.13,39.13,pomegranate
151.0,69.0,207.0,5.9,0.55,0.25,16.14,113.51,22.04,31.29,19.27,pomegranate
133.0,64.0,197.0,7.1,0.78,0.15,18.88,72.6,67.42,26.32,15.82,pomegranate
168.0,64.0,206.0,5.8,0.34,0.18,12.97,76.81,42.61,48.57,31.22,pomegranate
153.0,60.0,185.0,6.3,0.19,0.28,6.86,85.83,69.79,23.61,33.64,pomegranate
173.0,29.0,170.0,5.9,0.5,0.17,16.42,70.15,23.94,55.15,19.28,pomegranate
138.0,78.0,194.0,7.1,0.34,0.15,15.83,92.88,48.58,69.7,25.54,pomegranate
143.0,21.0,218.0,6.4,0.17,0.16,10.56,113.57,51.07,25.58,23.23,pomegranate
141.0,36.0,190.0,7.2,0.33,0.19,18.23,109.89,68.6,56.66,44.87,pomegranate
177.0,79.0,214.0,6.4,0.33,0.28,5.97,98.7,64.64,44.2,10.35,pomegranate
137.0,38.0,208.0,6.1,0.54,0.27,5.57,115.77,40.37,21.61,25.95,pomegranate
104.0,23.0,193.0,5.8,1.16,0.23,15.78,60.23,85.25,33.45,67.88,pomegranate
146.0,76.0,192.0,5.7,0.6,0.32,17.82,148.4,75.0,23.4,68.2,pomegranate
153.0,62.0,67.0,6.2,0.12,0.04,20.12,88.95,125.23,28.67,26.1,pomegranate
155.0,66.0,86.0,5.9,0.14,0.066,13.42,78.73,46.97,33.23,45.1,pomegranate
98.0,85.0,191.0,6.0,1.45,0.28,14.47,179.63,85.79,47.76,65.83,mango
95.0,87.0,141.0,4.8,0.88,0.27,18.63,71.11,64.77,20.86,58.64,mango
107.0,79.0,127.0,5.7,0.75,0.25,9.46,80.98,89.12,29.14,60.91,mango
123.0,74.0,134.0,6.0,0.83,0.31,19.9,140.22,99.24,23.29,70.52,mango
93.0,73.0,139.0,6.4,1.05,0.18,18.34,191.43,54.99,37.53,54.89,mango
137.0,74.0,188.0,6.1,0.57,0.17,15.44,84.83,51.88,50.0,69.45,mango
145.0,84.0,191.0,5.1,1.07,0.19,15.6,50.27,64.46,38.88,66.69,mango
86.0,83.0,143.0,5.7,0.89,0.34,13.28,173.21,70.27,22.48,66.15,mango
148.0,76.0,197.0,6.0,0.87,0.22,15.81,110.14,65.92,20.69,55.41,mango
137.0,71.0,170.0,5.1,0.72,0.32,9.97,88.37,95.67,40.4,63.5,mango
131.0,81.0,149.0,4.8,1.44,0.16,16.96,64.95,72.87,47.96,61.14,mango
129.0,85.0,179.0,5.2,0.88,0.23,12.08,123.96,77.69,30.11,67.32,mango
86.0,80.0,195.0,6.8,1.22,0.21,19.53,62.65,55.71,22.56,64.69,mango
81.0,87.0,128.0,6.4,1.17,0.25,16.92,188.97,53.49,34.25,62.58,mango
127.0,80.0,163.0,5.6,1.3,0.21,12.3,173.53,63.03,44.37,65.89,mango
111.0,82.0,164.0,5.8,0.63,0.24,14.66,196.99,82.4,46.82,58.46,mango
100.0,82.0,159.0,5.4,0.55,0.2,14.32,148.77,61.36,40.08,68.78,mango
112.0,88.0,148.0,6.2,1.48,0.25,14.38,63.05,81.71,45.0,66.52,mango
89.0,77.0,156.0,5.2,0.82,0.27,12.54,100.06,86.28,45.08,62.04,mango
85.0,80.0,131.0,5.0,1.29,0.34,18.71,51.06,87.68,41.62,70.34,mango
118.0,70.0,153.0,5.7,1.08,0.24,11.09,162.31,84.41,27.58,69.93,mango
148.0,73.0,198.0,5.5,0.58,0.29,13.5,182.25,56.44,35.78,58.55,mango
82.0,86.0,136.0,6.8,1.28,0.23,17.82,107.04,88.46,20.84,66.11,mango
110.0,71.0,146.0,6.1,1.44,0.2,19.17,139.93,88.28,26.8,71.76,mango
109.0,76.0,182.0,5.1,1.39,0.31,12.91,85.58,60.77,39.58,72.53,mango
92.0,77.0,162.0,4.5,0.64,0.18,10.56,171.73,84.09,32.57,63.14,mango
138.0,86.0,149.0,5.9,0.65,0.21,12.61,145.64,85.73,49.73,58.16,mango
91.0,78.0,159.0,6.4,1.36,0.15,16.29,130.77,57.57,44.17,68.17,mango
132.0,87.0,195.0,4.5,0.94,0.31,18.19,72.44,88.09,44.92,74.56,mango
114.0,82.0,183.0,6.1,0.69,0.34,9.91,180.56,53.28,48.57,56.56,mango
128.0,89.0,184.0,6.5,0.8,0.31,17.45,122.21,95.92,46.73,57.67,mango
98.0,78.0,179.0,6.8,1.29,0.17,19.88,190.72,56.17,49.92,62.77,mango
91.0,80.0,132.0,5.4,0.81,0.32,9.63,99.14,72.69,42.77,50.03,mango
98.0,78.0,131.0,6.1,1.05,0.35,19.3,187.27,50.73,31.89,54.75,mango
97.0,84.0,183.0,4.6,1.4,0.26,8.42,173.88,92.04,31.31,51.5,mango
110.0,86.0,154.0,6.4,1.39,0.3,11.62,138.84,82.52,46.43,57.24,mango
102.0,89.0,160.0,5.3,1.09,0.29,8.66,178.86,66.75,29.77,73.99,mango
104.0,85.0,172.0,5.3,1.12,0.17,16.41,105.55,64.46,49.61,61.2,mango
139.0,74.0,125.0,6.7,0.77,0.25,17.53,97.52,52.55,27.09,62.16,mango
118.0,86.0,179.0,5.7,0.87,0.32,16.08,172.71,63.92,22.72,60.75,mango
128.0,73.0,123.0,4.7,1.42,0.35,10.33,56.62,72.65,34.1,56.43,mango
111.0,74.0,165.0,6.8,1.25,0.27,10.98,169.05,50.52,33.8,60.5,mango
127.0,72.0,168.0,6.5,0.5,0.21,13.12,92.31,73.36,45.64,52.79,mango
110.0,82.0,167.0,5.8,1.08,0.18,15.08,139.78,60.57,44.21,71.44,mango
112.0,87.0,145.0,5.0,1.36,0.19,8.34,55.17,82.6,20.66,71.2,mango
80.0,71.0,169.0,6.4,1.37,0.18,10.31,59.08,89.43,45.57,72.04,mango
105.0,72.0,164.0,4.9,1.0,0.15,15.34,148.32,59.16,25.77,55.5,mango
122.0,86.0,167.0,6.4,0.71,0.32,9.86,99.1,68.08,47.83,60.31,mango
111.0,76.0,155.0,6.8,1.28,0.3,12.38,77.21,89.26,46.94,68.06,mango
145.0,73.0,181.0,6.4,0.81,0.17,8.78,196.66,54.72,37.8,52.55,mango
112.0,85.0,184.0,4.7,1.1,0.32,15.36,156.35,65.26,47.26,52.13,mango
107.0,86.0,159.0,5.3,0.64,0.17,9.11,97.91,50.78,21.14,58.37,mango
121.0,87.0,154.0,5.9,0.53,0.2,14.16,139.46,80.34,31.98,52.64,mango
121.0,76.0,169.0,4.8,0.86,0.27,10.03,78.71,78.58,27.1,69.01,mango
101.0,77.0,125.0,6.8,0.65,0.29,12.34,178.23,87.49,26.55,67.57,mango
135.0,82.0,166.0,5.3,0.74,0.27,14.71,147.87,53.86,47.16,54.12,mango
145.0,88.0,136.0,6.3,1.46,0.31,15.76,100.48,88.57,45.59,64.45,mango
81.0,76.0,136.0,4.8,1.44,0.22,8.18,134.97,73.02,31.52,74.15,mango
133.0,87.0,192.0,6.8,0.74,0.22,8.15,102.08,92.19,44.92,50.3,mango
144.0,85.0,190.0,7.0,0.65,0.24,17.03,174.27,53.8,43.84,66.57,mango
130.0,73.0,152.0,4.9,1.22,0.17,14.82,124.33,81.57,21.44,53.55,mango
81.0,77.0,151.0,5.6,1.43,0.32,11.18,70.99,82.76,30.27,52.31,mango
85.0,71.0,146.0,6.3,0.94,0.23,15.47,112.89,85.97,28.88,50.93,mango
82.0,86.0,168.0,6.5,0.95,0.24,9.8,184.17,70.09,23.98,67.82,mango
128.0,89.0,191.0,7.0,0.87,0.22,9.42,119.39,80.24,41.18,54.29,mango
129.0,81.0,151.0,5.6,1.07,0.17,13.47,78.29,80.8,35.74,54.17,mango
132.0,73.0,197.0,6.4,0.9,0.3,18.0,63.61,70.04,45.15,70.02,mango
106.0,73.0,191.0,5.0,0.98,0.24,15.2,115.72,71.66,28.04,69.75,mango
149.0,76.0,137.0,5.4,0.53,0.31,10.38,199.66,75.32,30.91,70.86,mango
143.0,70.0,156.0,6.9,1.08,0.28,19.42,155.4,67.34,44.3,61.14,mango
82.0,80.0,149.0,5.4,1.36,0.32,10.23,125.26,50.5,22.45,57.32,mango
133.0,84.0,143.0,5.9,0.54,0.21,8.66,179.38,93.09,22.96,64.98,mango
97.0,83.0,144.0,4.7,1.33,0.33,18.13,167.25,57.47,21.4,66.93,mango
81.0,71.0,200.0,5.5,0.98,0.32,18.86,84.31,55.71,46.04,55.79,mango
116.0,88.0,193.0,6.8,1.16,0.15,19.09,160.72,50.75,30.52,73.35,mango
116.0,85.0,139.0,6.5,0.88,0.26,10.96,142.87,65.39,30.32,51.12,mango
112.0,81.0,138.0,4.8,0.84,0.2,10.61,158.96,57.34,23.21,71.31,mango
122.0,85.0,184.0,6.5,0.94,0.28,18.77,92.46,62.6,26.7,52.17,mango
88.0,78.0,171.0,6.5,0.8,0.2,13.79,169.65,88.96,32.04,59.77,mango
131.0,80.0,159.0,6.3,1.0,0.29,13.65,98.47,64.59,26.92,62.41,mango
125.0,73.0,146.0,6.1,1.07,0.26,8.41,156.85,54.11,36.71,63.81,mango
140.0,88.0,156.0,5.7,0.83,0.27,10.6,69.37,60.93,41.08,68.99,mango
115.0,86.0,131.0,5.3,0.8,0.23,9.09,111.15,81.54,37.04,68.36,mango
137.0,81.0,122.0,4.7,0.89,0.23,8.44,51.04,59.46,45.83,57.05,mango
129.0,76.0,169.0,5.1,1.06,0.25,12.33,89.79,87.9,31.5,58.32,mango
120.0,81.0,134.0,5.3,1.49,0.16,13.41,134.52,96.6,41.39,71.43,mango
103.0,87.0,182.0,5.1,1.1,0.25,11.75,182.53,71.27,24.36,52.73,mango
126.0,80.0,161.0,5.8,0.74,0.34,14.23,158.95,63.24,47.82,73.14,mango
90.0,77.0,124.0,6.0,1.18,0.31,12.29,187.65,70.65,42.9,73.0,mango
129.0,80.0,146.0,5.7,1.45,0.29,17.4,182.3,83.22,26.85,59.76,mango
129.0,76.0,190.0,6.5,0.57,0.33,14.35,178.82,91.08,30.23,53.52,mango
100.0,83.0,170.0,6.3,0.71,0.17,18.47,157.91,88.5,33.82,65.78,mango
109.0,72.0,185.0,6.1,0.88,0.27,8.99,179.75,65.98,48.29,74.03,mango
120.0,76.0,124.0,4.9,0.5,0.29,14.42,128.4,71.42,33.21,70.96,mango
123.0,81.0,126.0,5.4,1.19,0.21,17.92,98.48,79.91,49.91,56.88,mango
100.0,86.0,188.0,4.5,1.5,0.34,8.16,107.13,81.09,45.14,52.47,mango
132.0,80.0,156.0,5.4,1.09,0.17,9.54,136.22,53.68,26.69,68.39,mango
118.0,74.0,165.0,6.6,0.63,0.34,13.95,132.96,81.76,41.04,71.78,mango
105.0,82.0,195.0,6.2,1.18,0.22,15.66,59.27,85.65,34.64,68.93,mango
148.0,74.0,196.0,5.4,0.8,0.31,17.92,147.96,78.05,23.14,67.2,mango
121.0,45.0,61.0,6.1,0.9,0.189,12.01,132.03,120.31,32.21,29.1,mango
124.0,34.0,102.0,5.6,0.23,0.132,12.3,143.3,122.4,48.21,48.21,mango
131.0,24.0,61.0,6.5,0.74,0.206,30.01,209.2,992.78,29.4,17.02,mango
126.0,31.0,56.0,6.2,0.51,0.312,22.32,165.2,302.2,25.99,25.21,mango
154.0,60.0,68.0,6.1,0.11,0.03,20.17,89.54,124.37,38.58,25.3,grapes
154.0,65.0,88.0,6.1,0.15,0.065,13.21,79.73,45.97,32.44,45.9,grapes
157.0,35.0,62.0,5.9,0.2,0.105,12.01,149.89,98.51,38.97,28.68,grapes
174.0,35.0,72.0,6.2,0.11,0.048,24.4,81.25,130.27,48.97,28.33,grapes
154.0,35.0,93.0,5.7,0.16,0.139,12.75,66.39,54.01,45.19,29.05,grapes
141.0,42.0,76.0,6.3,0.15,0.127,18.6,135.09,145.14,47.87,47.91,grapes
101.0,32.0,91.0,6.1,0.12,0.138,24.13,110.32,51.64,42.05,34.34,grapes
104.0,63.0,76.0,5.6,0.13,0.196,16.26,132.54,63.94,36.44,33.4,grapes
155.0,59.0,62.0,6.1,0.13,0.168,21.23,123.43,143.6,32.12,37.48,grapes
109.0,54.0,67.0,6.5,0.2,0.03,12.74,130.43,33.9,42.2,49.29,grapes
175.0,50.0,65.0,5.6,0.19,0.068,16.92,96.64,91.18,44.15,46.69,grapes
153.0,66.0,64.0,5.8,0.18,0.086,13.77,54.1,147.49,40.98,46.51,grapes
145.0,55.0,72.0,5.6,0.2,0.152,12.36,94.31,126.75,39.56,30.38,grapes
112.0,36.0,88.0,6.3,0.2,0.154,5.97,147.11,113.15,36.75,44.72,grapes
110.0,48.0,83.0,5.5,0.12,0.048,11.69,108.69,140.64,48.27,39.05,grapes
143.0,59.0,95.0,6.2,0.22,0.029,23.11,126.22,66.97,45.86,27.25,grapes
160.0,37.0,74.0,5.9,0.16,0.097,5.07,122.51,112.08,38.31,38.49,grapes
144.0,43.0,77.0,6.3,0.19,0.084,10.38,109.01,77.04,30.59,25.51,grapes
171.0,44.0,76.0,5.9,0.19,0.165,17.05,99.76,52.69,43.1,26.33,grapes
132.0,60.0,90.0,5.9,0.14,0.183,24.81,114.52,145.36,40.77,37.36,grapes
113.0,32.0,62.0,5.8,0.14,0.156,9.51,73.86,126.93,46.06,26.58,grapes
145.0,43.0,89.0,5.9,0.2,0.126,5.56,84.79,93.06,32.96,47.63,grapes
178.0,43.0,95.0,6.2,0.13,0.109,14.91,131.24,139.98,37.66,48.19,grapes
103.0,61.0,66.0,5.6,0.17,0.135,5.6,92.74,40.6,33.96,39.59,grapes
138.0,55.0,94.0,5.6,0.17,0.018,18.61,58.74,39.78,38.4,38.75,grapes
112.0,44.0,89.0,5.9,0.15,0.169,23.17,71.36,43.41,44.93,27.84,grapes
164.0,55.0,94.0,6.4,0.14,0.071,16.15,60.24,99.57,33.07,28.04,grapes
112.0,30.0,89.0,6.4,0.19,0.058,17.96,100.47,109.6,44.27,27.97,grapes
115.0,59.0,70.0,6.2,0.15,0.037,12.9,97.48,82.74,43.53,49.16,grapes
169.0,37.0,69.0,6.0,0.23,0.175,18.88,139.12,106.28,39.89,48.73,grapes
129.0,69.0,62.0,5.7,0.2,0.026,14.83,70.54,35.31,30.22,47.12,grapes
138.0,31.0,90.0,5.7,0.22,0.118,10.32,126.06,125.6,35.25,36.66,grapes
146.0,37.0,72.0,6.4,0.18,0.155,20.66,121.27,47.06,47.95,38.34,grapes
117.0,52.0,70.0,6.1,0.12,0.094,13.4,71.52,86.25,42.06,48.22,grapes
101.0,35.0,93.0,6.2,0.17,0.055,20.46,73.8,129.76,33.22,36.06,grapes
110.0,36.0,66.0,6.5,0.2,0.177,13.75,58.9,71.59,39.09,43.98,grapes
127.0,37.0,85.0,5.8,0.11,0.074,16.91,105.31,107.2,31.54,28.53,grapes
144.0,36.0,77.0,6.3,0.16,0.176,14.29,109.33,50.24,49.12,34.73,grapes
157.0,48.0,96.0,5.6,0.17,0.077,16.42,50.11,49.38,37.58,44.25,grapes
112.0,51.0,82.0,6.5,0.14,0.026,11.12,103.8,78.74,32.85,35.88,grapes
105.0,38.0,73.0,6.1,0.12,0.164,10.85,121.53,52.55,34.12,34.97,grapes
111.0,51.0,65.0,5.7,0.17,0.035,18.11,148.12,96.33,49.96,33.7,grapes
119.0,67.0,64.0,5.7,0.13,0.086,21.69,114.2,118.04,30.97,34.87,grapes
153.0,49.0,68.0,6.3,0.12,0.145,12.16,109.07,62.63,46.67,40.29,grapes
126.0,46.0,66.0,6.2,0.13,0.167,24.95,145.21,133.91,37.79,37.29,grapes
118.0,32.0,98.0,5.7,0.14,0.157,11.81,83.19,110.55,40.52,49.58,grapes
139.0,38.0,93.0,5.8,0.21,0.142,11.64,113.1,73.56,43.58,36.4,grapes
122.0,40.0,88.0,5.5,0.21,0.037,13.58,118.4,54.08,32.59,30.08,grapes
138.0,36.0,80.0,5.8,0.17,0.168,17.66,68.65,75.39,49.8,44.38,grapes
105.0,63.0,92.0,6.4,0.18,0.17,17.41,118.65,100.65,41.52,46.6,grapes
108.0,49.0,96.0,6.1,0.22,0.095,6.17,138.31,46.44,47.56,47.76,grapes
136.0,30.0,65.0,6.0,0.21,0.15,7.13,63.69,95.25,44.48,42.65,grapes
174.0,68.0,92.0,6.5,0.16,0.113,15.36,98.87,95.42,44.77,25.17,grapes
127.0,31.0,84.0,6.3,0.16,0.105,6.35,104.14,68.28,34.08,31.06,grapes
142.0,34.0,83.0,6.4,0.23,0.162,10.38,133.11,60.52,43.96,40.92,grapes
110.0,32.0,61.0,6.3,0.23,0.086,17.59,57.08,35.93,49.86,44.8,grapes
103.0,30.0,85.0,6.5,0.2,0.187,19.5,118.77,59.39,37.03,43.38,grapes
174.0,44.0,88.0,5.9,0.19,0.129,21.89,98.45,91.13,40.97,41.47,grapes
120.0,30.0,95.0,6.0,0.14,0.168,23.74,129.92,39.26,39.55,27.81,grapes
155.0,66.0,78.0,6.4,0.21,0.083,5.55,86.18,67.81,35.12,32.28,grapes
102.0,43.0,78.0,5.7,0.14,0.037,12.92,121.0,72.13,47.37,30.51,grapes
139.0,41.0,83.0,6.0,0.2,0.08,19.38,125.48,115.82,46.79,28.42,grapes
168.0,54.0,93.0,6.4,0.19,0.089,20.76,73.32,63.59,34.81,38.72,grapes
174.0,58.0,72.0,5.5,0.2,0.19,10.08,142.65,92.32,44.04,43.55,grapes
154.0,41.0,99.0,5.7,0.21,0.138,18.96,89.15,115.82,41.26,27.68,grapes
114.0,53.0,64.0,5.8,0.13,0.153,13.5,108.36,66.57,31.38,47.14,grapes
171.0,51.0,87.0,6.3,0.22,0.139,18.52,57.31,32.46,36.56,40.68,grapes
171.0,32.0,93.0,6.0,0.23,0.115,19.86,141.12,126.25,45.65,36.93,grapes
155.0,68.0,90.0,5.9,0.21,0.043,15.61,68.39,143.41,33.38,34.38,grapes
176.0,48.0,63.0,6.1,0.22,0.066,17.88,122.45,105.73,39.44,39.19,grapes
176.0,58.0,65.0,6.3,0.11,0.108,24.15,144.58,50.68,48.61,26.21,grapes
114.0,47.0,78.0,6.1,0.14,0.092,19.05,80.38,35.23,36.23,40.41,grapes
140.0,47.0,93.0,5.8,0.12,0.133,15.48,102.57,135.73,33.25,29.09,grapes
134.0,38.0,84.0,6.4,0.2,0.187,15.31,142.59,85.77,43.85,45.08,grapes
152.0,65.0,92.0,6.0,0.15,0.135,18.51,146.74,103.49,32.97,47.64,grapes
116.0,67.0,61.0,5.6,0.16,0.112,15.7,91.5,147.28,37.93,29.82,grapes
151.0,62.0,82.0,5.8,0.16,0.111,8.35,109.41,142.26,40.95,27.83,grapes
111.0,64.0,62.0,5.7,0.16,0.135,20.86,60.16,111.83,34.16,39.67,grapes
160.0,35.0,80.0,5.9,0.23,0.109,15.84,87.43,145.86,37.01,42.23,grapes
145.0,48.0,81.0,6.4,0.15,0.178,8.66,129.52,143.29,47.53,45.15,grapes
